Apple
Pizza Margherita
Sushi Roll
Street Tacos
Cheeseburger
Beef Lasagna
Pad Thai
Butter Croissant
Falafel Wrap
Fresh Guacamole
Shoyu Ramen
Bean Burrito
Blueberry Pancakes
Belgian Waffles
Spinach Omelette
Caesar Salad
Tomato Gazpacho
Seafood Paella
Pork Dumplings
Pistachio Gelato
New York Cheesecake
Roasted Garlic Hummus
Tomato Bruschetta
Quinoa Salad
Chicken Tikka Masala
Beef Pho
Potato Gnocchi
Shrimp Ceviche
Honey Baklava
Cinnamon Churros
Mushroom Risotto
Miso Soup
Vegetable Spring Rolls
Beef Bibimbap
Classic Poutine
Macaroni and Cheese
Clam Chowder
Ratatouille
Eggs Benedict
Beef Stroganoff
Classic Tiramisu
Shrimp Dim Sum
Chicken Shawarma
Cheese Enchiladas
Fish and Chips
Seafood Gumbo
Chicken Jambalaya
Salmon Poke Bowl
Vegetable Samosas
Potato Pierogi
